SuperWEB2(tm)

"Census 2022-Person-2Gv2"
"Scotland's Census 2022 - National Records of Scotland Table UV102a - Age (single year) by sex All people"
"Health Board Area 2019 by Age by Sex by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Counting","Health Board Area 2019","Age","Sex","Count",
"Individuals","Ayrshire and Arran","49","All people",4882
"Individuals","Ayrshire and Arran","49","Female",2553
"Individuals","Ayrshire and Arran","49","Male",2329
"Individuals","Ayrshire and Arran","50","All people",5208
"Individuals","Ayrshire and Arran","50","Female",2758
"Individuals","Ayrshire and Arran","50","Male",2450
"Individuals","Ayrshire and Arran","51","All people",5408
"Individuals","Ayrshire and Arran","51","Female",2912
"Individuals","Ayrshire and Arran","51","Male",2496
"Individuals","Ayrshire and Arran","52","All people",5537
"Individuals","Ayrshire and Arran","52","Female",2900
"Individuals","Ayrshire and Arran","52","Male",2635
"Individuals","Ayrshire and Arran","53","All people",5645
"Individuals","Ayrshire and Arran","53","Female",2872
"Individuals","Ayrshire and Arran","53","Male",2777
"Individuals","Ayrshire and Arran","54","All people",5764
"Individuals","Ayrshire and Arran","54","Female",3091
"Individuals","Ayrshire and Arran","54","Male",2671
"Individuals","Ayrshire and Arran","55","All people",5819
"Individuals","Ayrshire and Arran","55","Female",3027
"Individuals","Ayrshire and Arran","55","Male",2792
"Individuals","Ayrshire and Arran","56","All people",5998
"Individuals","Ayrshire and Arran","56","Female",3137
"Individuals","Ayrshire and Arran","56","Male",2861
"Individuals","Ayrshire and Arran","57","All people",6285
"Individuals","Ayrshire and Arran","57","Female",3273
"Individuals","Ayrshire and Arran","57","Male",3015
"Individuals","Ayrshire and Arran","58","All people",5914
"Individuals","Ayrshire and Arran","58","Female",3088
"Individuals","Ayrshire and Arran","58","Male",2826
"Individuals","Ayrshire and Arran","59","All people",5940
"Individuals","Ayrshire and Arran","59","Female",3187
"Individuals","Ayrshire and Arran","59","Male",2753
"Individuals","Ayrshire and Arran","60","All people",5701
"Individuals","Ayrshire and Arran","60","Female",2914
